,Produktnamn,Registreringsnummer
3139,Meristo,PHT-0003-4898
3140,Nattaro Safe,4993
3141,Wocosen 100 SL,5111
3142,Bochemit QB,4856
3143,Hempel's Copper Free Antifouling 89720,4794
3144,Intersmooth 7460HS,4936
3145,Interswift 655,4799
3146,Diflanil 500 SC,4989
3147,Legacy 500 SC,5002
3148,Schas!,4830
3149,Bansan 150,4419
3150,Fästing Spray,4901
3151,Woodex Aqua Base,5104
3152,Woodex Aqua Base,4707
3153,GreenLine  Ogräsättika,4072
3154,Sikkens Cetol WP 562 (BPD),5103
3155,Ogräsättika 12%,4098
3156,BIO Blast & Ogräsättika Y 10%,4075
3157,BIO Ogräsättika 10%,4074
3158,Blast & Ogräsättika Y 24%,4076
3159,Alcro Bestå Impregneringsolja,5090
3160,Alcro Bestå Impregneringsolja,5089
3161,Alcro System Impregneringsolja,5090
3162,Alcro System Impregneringsolja,5089
3163,Beckers Impregneringsolja,5090
3164,Beckers Impregneringsolja,5089
3165,Cuprinol Träbas V,5088
3166,Cuprinol Träbas V,5087
3167,Pinotex Superbase Trägrund,5088
3168,Pinotex Superbase Trägrund,5087
3169,Tinova V Träbas,5088
3170,Tinova V Träbas,5087
3171,Beckers Perfekt Impregneringsolja,5090
3172,Beckers Perfekt Impregneringsolja,5089
3173,Calypso SC 480,4820
3174,Ethosat 500 SC,5011
3175,Kobra Rax Difenacoum Råttgift,5086
3176,Wocosen SF,5082
3177,Fabi One,5001
3178,Mavrik,4491
3179,Mavrik 2F,4491
3180,Jablo Glyfosat,4354
3181,TWP 085,4745
3182,Signum,4884
3183,Stop-It Myrpenna,4994
3184,Kobra Rax Difenacoum K3,4578
3185,Kobra Rax Difenacoum Råttgift,3524
3186,Ratak rått och musgift,4030
3187,Ratak vaxblock,4099
3188,TWP 085,5063
3189,Ranman Top,4995
3190,Butinox Oljegrunning,5060
3191,Visir Oljegrunning Klar,5059
3192,Exalent SX,5057
3193,Autan Protection Plus Compact Spray,4829
3194,Microterys flavus,5056
3195,Goliath,PHT-0002-4237
3196,Natria Pyrsol Spray,PHT-0001-4574
3197,Autan Junior Gel,4763
3198,Autan Tropical Pumpspray,4314
3199,Autan Tropical Spray,4829
3200,Jotun Industri Grunning Visir,5050
3201,TEPPEKI,4966
3202,NWS e-booster inside,4801
3203,Butisan Top,4634
3204,Bacara,4542
3205,Cerone,3571
3206,Express 50 SX,4956
3207,Gratil 75 WG,4232
3208,Antotal Myrspray,4886
3209,Greenline Myrspray,4886
3210,Basamid Granulat,2464
3211,Fiesta T,4087
3212,Titus WSB,4124
3213,CEL 265 27,4912
3214,Taifun 360 SL,5043
3215,Aptaor A,4984
3216,Aptaor L,4732
3217,Cruiser SB,5028
3218,Optimal,4830
3219,CELLO POHJUSTE AQUA,4875
3220,WOODEX AQUA BASE,4875
3221,WOODEX BASE,4786
3222,SmartBayt Professional,4878
3223,GreenLine Myrmedel,4993
3224,Totril EC 225,5026
3225,Sommarspray mot mygg,4882
3226,Previcur N,3471
3227,Racing Low Cu,4881
3228,"Karate 2,5 WG",4164
3229,Biscaya OD 240,4791
3230,Absorbine Ultrashield Brand Residual Insecticide and Repellent,4757
3231,Seaquantum Classic,4697
3232,Seaquantum Plus,4696
3233,Spical,4998
3234,Vital Protect,5010
3235,Defender,4999
3236,Provado Compact,4997
3237,Cantor,4992
3238,DERREX,4990
3239,NIXIT Bett  & Stick Mygg & Fästing Våtservett,4882
3240,NIXIT Bett & Stick Mygg & Flug Spray,4831
3241,Amblyline CRS,4987
3242,Amblyseius Cucemeris,4988
3243,Betasana SC,4967
3244,Phytoseiulus Persimilis - Phytoline P,4986
3245,Betanal Power,4868
3246,Boracol Special,4985
3247,Vertimec,4693
3248,Agita 1 GB,4983
3249,Aptaor PYR spray,4837
3250,MyggA,3787
3251,MyggA Natural Roll-on,4899
3252,MyggA Natural Stick,4900
3253,Signum,4884
3254,Matrigon,3273
3255,Baycidal Stallar 25 WP,4981
3256,Boxer,3887
3257,Accurate,4885
3258,Dacnusa system,4214
3259,Dacnusa-Mix-System,4615
3260,Raid Optimal Myrdosa,4857
3261,Goltix WG,3297
3262,Harmony 50 SX,4756
3263,Sjö & Hav Mygg och Fästing Roll-on,4630
3264,Wolmanit CX-8 D,4122
3265,Myrr till utvattning,4797
3266,FENNOSAN IT 21 T,4518
3267,Roundup Bioactive,4972
3268,Roundup Gold,4968
3269,Curera Moskito Mygg RollOn,4962
3270,Curera Moskito Mygg RollOn Extra Strong,4964
3271,Curera Moskito Myggolja,4963
3272,Curera Moskito Myggspray,4965
3273,Mirador,4219
3274,Weibulls stoppar insekter,3836
3275,SPITFIRE XL,4686
3276,Basic,4183
3277,Baycidal WP 25,4432
3278,Bionim K,4343
3279,Boracol 20-2Bd Prof,4646
3280,Boral-20,4464
3281,Djungelolja II,3857
3282,Elit Grundolja,4525
3283,Grundolja V,4526
3284,Hempel's Antifouling Classic 7611S,4185
3285,Impel Prof,4191
3286,Kobra Rax Råttgift Ekonomi,4567
3287,Lexus 50WG,4540
3288,Micobor,3660
3289,Micobor 13 %,4196
3290,Panoctine 30,3141
3291,Panoctine Aqua,4125
3292,Panoctine Plus 400,3726
3293,Protim P-vac,4107
3294,Protoxsvamp,4737
3295,Renons Flug & Insektsavvisande kräm för häst,4787
3296,Renons Flug & Insektsavvisande Spray för häst,4788
3297,Svavelkalkvätska 30 Be°,4637
3298,Switch,4068
3299,Tattoo,3871
3300,Tilt Top 500 EC,3709
3301,US 622 Mygg Roll-on,3806
3302,US 622 Myggservett II,3860
3303,US 622 Myggspray II,3893
3304,US 622 Myggstift III,3859
3305,VKR SC200,4614
3306,Duplosan DP,3734
3307,Tandus 180,4848
3308,SpY,4958
3309,Grönt Gräs Utan Mossa +,4854
3310,MotMossa,4444
3311,Nissorun,3826
3312,NemaTop,4953
3313,Kill-it Insekt,4837
3314,Impel,3503
3315,Bromard 0.005%,4944
3316,Optica Trio,4309
3317,Fennosan BR 98,4822
3318,Fennosan BR 98 G,4823
3319,Biltema Antifouling Vit,4942
3320,Geting Effekt Spray,4717
3321,Raptol Bladlöss Effekt,4574
3322,Weibulls stoppar myror pulver,4730
3323,Natria Pyrsol,4573
3324,GreenLine Myrdosa,4300
3325,Basic Myrdosa,4857
3326,Spinosad Myr Effekt Refill,4857
3327,Freeland,4437
3328,Signum,4884
3329,Signum,4793
3330,BA2892,4935
3331,Hypoaspis miles,4933
3332,Orius majusculus,4932
3333,Nissorun,3826
3334,Hard Racing Performer,4927
3335,Mille Performer,4926
3336,Amistar,4219
3337,Myrr Q - Myrdosa,4925
3338,Hempel's Antifouling Globic NCT 8190M,4769
3339,Hempel's Antifouling Globic NCT 8195M,4768
3340,Cantus,4872
3341,Danadim Progress,4904
3342,Roxion 40 EC,4905
3343,"Celcure P50, Flytande",4620
3344,Etono Mygg Roller,4765
3345,Etono Mygg Spray,4764
3346,Giftblock till Giftstation,4083
3347,Giftstation mot Mus,4083
3348,Giftstation mot Råtta,4083
3349,Protim P-Vac 11,4770
3350,Thermacell Mosquito repellent,4775
3351,Vacsol aqua 6111,4798
3352,Vacsol Aqua 6112,4744
3353,Vinyzene IT 4000 DIDP,4505
3354,NoSkito Lotion,4908
3355,NoSkito Spray,4907
3356,Sjö&Hav Mygg och Fästing,4317
3357,Swirskii-Breeding-System,4910
3358,Swirskii-System,4910
3359,ZeckWeck Spray,4909
3360,Butisan Top,4634
3361,Signum,4884
3362,Stroller Plus T-Kombi,4681
3363,P-plugg,4903
3364,Slystopp,4903
3365,Stoppa slyet,4903
3366,Fenix,4123
3367,Fenix,4123
3368,Nitor Rodentin Mot Råttor och Möss,3721
3369,HG ogräsborttagare,4435
3370,Solfac 50 EW,3820
3371,Herbiclean,4890
3372,Lefant Nutica Copper,4881
3373,Natria Mot Sniglar,4877
3374,US 622 Myggsticka,4672
3375,Away,4830
3376,Boxer,3887
3377,Safari 50 DF,4187
3378,Nopcocide ENA-453,4662
3379,Signum,4884
3380,Signum,4884
3381,Gödsel mot mossa,4876
3382,Gräsgödsel mot mossa,4854
3383,Moddus 250 EC,4140
3384,Aphidius colemani,4205
3385,Aphidius ervi,4230
3386,GröntGräsUtanMossa+ ;återkallat genom F-3477-B10-00582,4876
3387,Amblyseius cucumeris,4146
3388,Lefant FT VK,4881
3389,NonStop Low Cu,4880
3390,Acticide DB 20,4662
3391,Anticimex Mot Möss,4440
3392,Anticimex Warfarin Konc.,2538
3393,Anticimex Warfarin-Torrbete K,3721
3394,Anticimex Warfarin-Vete K,3720
3395,Anticimex-Warfarin-Torrbete,2602
3396,Anticimex-Warfarin-Vete,2601
3397,Antimicrobial 7287,3232
3398,Bioban BP-Plus Preservative,4648
3399,Dantobrom RW,4593
3400,DBNPA 100 PTECH,4661
3401,Gori 353,3878
3402,GORI SC200,4614
3403,Kobra Rax Råttgift,2599
3404,Mosi-guard Natural Cream,4629
3405,Mosi-guard Natural Stick,4628
3406,Nalco 74724,4257
3407,Nalco 7647,3689
3408,Nalco 7649,3547
3409,Nopco 26-S,4395
3410,Nopcocide ENA-253,4397
3411,Pyretal Emulsion,4248
3412,Pyretrum NA Emulsion,4559
3413,Pyrsol emulsion,2141
3414,Racumin Block,3832
3415,Racumin puder,3044
3416,Racumin torrbete,2534
3417,Raticid,4050
3418,Stoppar Ohyra Koncentrat,4277
3419,Tomcat,4083
3420,Ucarcide 24 Antimicrobial,4256
3421,Ucarcide 50 Antimicrobial,3961
3422,Warosit 370,4687
3423,CERIDOR MCPA 750,3236
3424,Perfekt Grundolja Prof,4874
3425,Biocomb,4862
3426,Grundolja/Träskydd,4526
3427,Signum,4793
3428,AlgNIX,4859
3429,Miljöflugans parasitstekel,4873
3430,Tanaco Myrechock,4837
3431,Kemwood KB 75,3587
3432,DUGAL,3838
3433,GULLVIKS FLORASULAM,4552
3434,Deltatron,4855
3435,PACK,4727
3436,Fabi Skeppsmask CT Kobber,4871
3437,PCL Dog & Cat Ohyreshampoo,4286
3438,Weibull Flugspray,4837
3439,Weibull Geting Spray,4837
3440,Gyllebo Plantskydd Granulat,4263
3441,Flymaster EXTRA,4837
3442,Flexgard X,4869
3443,Kemfam Power,4868
3444,Tanaco Geting Spray,4837
3445,Celcure MC - 500A,4864
3446,Celcure MC - 500B,4865
3447,Radar Dos P - mot flygande insekter,4715
3448,Nitor Prickbort,4861
3449,"Nitor Prickbort, brukslösning",4860
3450,Fox 480 SC,4850
3451,Anti myror myrdosa,4857
3452,Formica Box,4857
3453,Spinosad Myr Effekt,4857
3454,Kohinor 70 WG,4863
3455,Benac 05,4858
3456,Bicomb Pro,4862
3457,PrickNIX,4860
3458,PrickNIX koncentrat,4861
3459,Mogeton WP,4226
3460,Ranman,4586
3461,No Fly Flugspray,4840
3462,Reglone,3367
3463,Flectron Extra,4266
3464,Flectron öronbrickor,3618
3465,Calypso SC 480,4820
3466,Strovels Stråväck Extra,4076
3467,Anticimex mot insekter K,4837
3468,Biscaya OD 240,4791
3469,Karate med Zeon teknologi,4804
3470,Basagran SG,4115
3471,Radar Dos - mot krypande insekter,4796
3472,PWS Giftblock (tidigare Giftblock),4083
3473,PWS giftstation med giftblok,4083
3474,Pyrex insektsspray N,3836
3475,Pyrex N,3837
3476,Carr & Day & Martin Extra Strength Insect Repellent,4789
3477,FLOXY,4845
3478,Fosfox 120 g/l,4563
3479,"Fosfox 7,2 g/l",4564
3480,Spitfire,3838
3481,Titus,4124
3482,Titus 25 DF,4124
3483,Titus WSB,4124
3484,Frupica SC,4781
3485,Anticimex Mot Småkryp K,4668
3486,Micobor 67 Anob,3660
3487,Electis,4680
3488,Rizolex 50 FW,3823
3489,Anticimex Mot Ohyra K,4796
3490,Nitor Rodentin Råttgift Korn,2536
3491,Nitor Rodentin Råttgiftsstation Pellets,4709
3492,Nitor Rodentin Råttgiftsstation Vaxblock,4538
3493,Provado Insektsspray,4351
3494,Amblyseius-System,4148
3495,Aphidend,4155
3496,Aphidius-Mix-System,4618
3497,Aphidius-System,4204
3498,Aphidoletes system,4147
3499,Aphipar,4205
3500,Apollo 50 SC,4633
3501,Ättix Dubbel Effekt,4689
3502,Bayofly pour-on,3714
3503,BioProduction Amblyseius cucumeris,4576
3504,Botani Gard 22 WP,4493
3505,Botani Gard Emulsifiable Suspension,4494
3506,Cevex 300,4551
3507,Chinook FS 200,4358
3508,CHRYSOPA,4609
3509,Comet Plus,4751
3510,Cougar,3963
3511,Cryptobug,4150
3512,CT Kopperstoff Fabi Skeppsmask,4398
3513,Cur-Era ogräs,4801
3514,CYPERB,4071
3515,Diglyphus system,4152
3516,Dimilin Granulat,4346
3517,Effol Anti-Fly-Gel,4749
3518,Effol Anti-Fly-Spray,4750
3519,Effol Horse-Fly Blocker,4748
3520,Encarsia system,4158
3521,En-strip,4156
3522,Entomite,4255
3523,Entonem,4379
3524,EQUS Insektsspray för Häst & Nöt,4500
3525,Ervipar,4230
3526,Ervi-system,4231
3527,Etotal,4649
3528,Etotal Pro,4654
3529,Flusa,3798
3530,Fly Tix,3745
3531,Fungazil C,3870
3532,Gallery,3886
3533,Hypoaspis-System,4209
3534,Insekt Effekt,4287
3535,Intersmooth 360 Spc,4480
3536,Intersmooth 460 Spc,4479
3537,Isomate C Plus,4747
3538,Macrolophus-System,4200
3539,Maxim TECH,4723
3540,Mellus-Snyltehveps,4652
3541,Mesurol 500 SC,4019
3542,Mesurol snigelgift,2412
3543,Miglyphus,4153
3544,Minusa,4213
3545,Mirical,4241
3546,MK 19-mikroinkapslat myggmedel,4674
3547,Myggstopp - krem,4523
3548,Myggstopp  rollon,4519
3549,Myggstopp-servietter,4522
3550,Nemablom,4386
3551,NemaFelt,4722
3552,OFF! Mygg och Fästing Roll-on,4129
3553,OFF! Mygg- och Fästingservetter,4133
3554,OFF! Mygg- och Fästingspray,4372
3555,OFF! Pumpspray,4131
3556,Ogräsättika - Naturligt vis!,4272
3557,OPTICA  Diklorprop 600,4347
3558,Panoctine Plus,3260
3559,PCL Dog&Cat Ohyreshampo,4286
3560,Perfekt Ezeepour-on,4349
3561,Perstorp Ogräsättika,4073
3562,Phytoseiulus system,4177
3563,Pirimor,3815
3564,Provado Insektspinnar,4352
3565,Provado Insektsspray Plus,4555
3566,PS Stubbskydd,4726
3567,Pyramin DF,2545
3568,Pyrsol Insektsspray,3841
3569,Rå´Odör,4535
3570,Revira avskräckningsmedel,4548
3571,Revira Avskräckningsmedel Special,4554
3572,Ridomil Gold MZ Pepite,4636
3573,Seaquantum Classic Blue,4698
3574,Seaqueen,4695
3575,Spidex,4171
3576,Spin Out 300,4243
3577,Spinde-Rovmider,4651
3578,Stoppar insektslarver,4385
3579,Stroller Kombi,2861
3580,Stroller mossa F,3813
3581,Stroller-Plus Kombi,3946
3582,Tanos 50 WG,4647
3583,Thripex,4146
3584,Trips-Rovmider,4650
3585,Värna Mossmedel Konc,4093
3586,Värna Mossmedel Spray,4094
3587,Vectobac 12 AS,4429
3588,Weibulls Stoppar Ohyra,4453
3589,Puma,4222
3590,Bli av med X2,4098
3591,Kerb Flo 400,4610
3592,Eagle WG,4844
3593,Cogito,3572
3594,Kando,4306
3595,Garl-it 7.2 g/l,4564
3596,Greenline Fosfox 7.2 g/l,4564
3597,Combat,4504
3598,Combat Spray,4489
3599,Provado Bladlusspray,4351
3600,Perfekt Flugbete Grön,4581
3601,Perfekt Larvstopp,4432
3602,Myrmica C,4284
3603,Tomahawk 180 EC,4460
3604,Greenline MotGeting,4837
3605,Kill-it E,4837
3606,Basagran M 75,4733
3607,Duplosan Super,4091
3608,SYSTEM Grundolja trä,4526
3609,Mospilan,4739
3610,Mospilan SG,4739
3611,Oxyfly 10 CS,4842
3612,Primer Oil 105,4841
3613,Stroller-Plus Kombi,3946
3614,Stroller-Plus Kombi,3946
3615,Stroller-Plus Mossa,4181
3616,Stroller-Plus Mossa,4181
3617,Stroller-Plus Trippel,4681
3618,Stroller-Plus Trippel,4681
3619,Canitex (tidigare Canitex 1),4536
3620,Perfekt insektspray för nöt,4500
3621,Perfekt insektsspray för häst,4500
3622,Rat-2-Pack,4060
3623,Precoll 33,4833
3624,Protim FC(31),4836
3625,SALTYSAND PLUS,4414
3626,Precoll,4704
3627,Bansan 240,4256
3628,Bansan 500,3961
3629,Bansan 820,3232
3630,Mould Protector,4720
3631,Ättix PunktSkum,4689
3632,Snigelnematod,4824
3633,Ecoline ogräsättika,4073
3634,Thiacloprid 10 GR,4827
3635,Butisan Top,4634
3636,Centium 36 CS,4778
3637,Takpannerengöring,4742
3638,Alg & Mögelbort Proffs,4802
3639,Centium 36 CS,4778
3640,Curera Pyretal Mot skadeinsekter,3837
3641,CurEra Pyretal Växtspray,3836
3642,Rosett Växtspray,3836
3643,Basta,3850
3644,Biltema Ogräsättika,4272
3645,Bli av med,4272
3646,Moddus 250 EC,4140
3647,Moddus M,4140
3648,Ratak Muskorn,4578
3649,Anticimex Myrgranulat IC,4712
3650,Maxforce LN Myrgranulat,4712
3651,Seajet 032 ECO,4724
3652,Swirski-Mite,4784
3653,Penguin NonStop Low Cu,4821
3654,Amblyseius swirskii Rovkvalster,4817
3655,Giftblock (tidigare Gnaver-Blok),4083
3656,SBI-1925,4537
3657,Bayer Garden Insektsmedel SE009,4816
3658,Fine tune biting insect lure,4813
3659,Betasana 2000,4303
3660,Cliophar 100 SL,4508
3661,Gräsgödsel Kombi med ogräsmedel,3946
3662,Rovral 500 A,4741
3663,Sanitized PL 21-60,4643
3664,Stomp SC,4359
3665,Totril,3390
3666,VC 17 New Technology,4116
3667,Tar Bort Råttan namnändrat till Ta bort Råttan,4060
3668,Dimilin 25 WP,3658
3669,Mitrol 48 dopp,3341
3670,Mitrol 50 Konc.,3430
3671,Mitrol C 800,3656
3672,Greenline Snigelmedel,4414
3673,Mitrol PQ 8,3562
3674,Tanaco Snigelmedel Namnändrad se: SALTYSAND PLUS,4414
3675,Sigmarine 530,4807
3676,Anticimex Myrdosa IC,4711
3677,MKH Power SG 70,4710
3678,Raid Silverfiskspray,4543
3679,K-Othrine Ips,3546
3680,Fönster Grundolja,4526
3681,Fönsterolja V,4525
3682,Greenline Snigelgift,4414
3683,HaTe 1,4549
3684,Flexgard VI,4805
3685,Cruiser 600 FS,4671
3686,Cruiser 70 WS,4670
3687,Binab Dropp,4420
3688,Binab Fläckfri,4420
3689,Binab Frukt,4420
3690,Binab Golf Svampdödaren,4420
3691,Binab Julstjärna,4420
3692,Binab Kalldim,4420
3693,Binab Krydda,4420
3694,Binab Puder,4420
3695,Binab Ros,4420
3696,Binab Skog,4420
3697,Binab Skogsplanta,4420
3698,Binab Substrat,4420
3699,Binab Träd,4420
3700,Binab Trädgård,4420
3701,Binab Växthus,4420
3702,Tak Pro.,4533
3703,CurEra Snigel,4414
3704,Larvskydd,4492
3705,Myr Effekt Pumpspray,4713
3706,NA ALAR 85,4329
3707,Trädgårdsättika,4233
3708,Alcro Träskydd Grön,3130
3709,Anticimex Insektsspray,4341
3710,Anticimex myrdosa,4239
3711,Baygon Myrdosa,4621
3712,Baythion E,3174
3713,Baythion myrdosa,3671
3714,Baythion myrmedel,3248
3715,Blattanex insektsdosa,4189
3716,Danadim Progress,4641
3717,Dermocan Hund- och kattschampo,4536
3718,Exponyl Träskydd Grön,3805
3719,Flystar Trakinsekt Flugbete,4571
3720,Insektenkiller,3774
3721,Kill-it Insektsspray,3531
3722,Mr Mosquito,4598
3723,Premis 25 FS,4607
3724,Radar Dos O,4456
3725,Robust,4691
3726,Roxion 40 EC,3966
3727,SWAT Gel,4342
3728,Tiguspray,4026
3729,Trinol 810 Insekt-middel,4407
3730,Trinol Fluemiddel A,4488
3731,Trinol Perma Forte,4408
3732,Trinol Turbo Jet A,4487
3733,BONUS Sneglemiddel,4414
3734,Anti Gnag,4316
3735,Halt,4268
3736,Mota,4221
3737,PW Viltskydd,4186
3738,Terminal-PW,4269
3739,Gnaver-Blok,4083
3740,BORAkleen Proffs,4802
3741,Boxer,3887
3742,Raid Getingspray,4743
3743,Basudin 600 EW,4106
3744,Skipper,4501
3745,Tanaco Snigelgift,4414
3746,Marshal 25 EC,3657
3747,Marshal 40 DB,3646
3748,Marshal MUP,3754
3749,Ridak block,4099
3750,Ridak mus och råttgift,4030
3751,Teldor WG 50,4339
3752,Autan Family Care Milk,4315
3753,Autan Family Care Stift,4761
3754,Autan Family Protection Plus Pumpspray -Fästing,4653
3755,Cruiser,4334
3756,Cruiser White,4337
3757,Hempel's Antifouling Combic ALU 71800,4481
3758,Micron WQ,4333
3759,Micron WQ White,4336
3760,Trilux,4335
3761,Trilux White,4338
3762,Amistar,4219
3763,ACQ 2000,4120
3764,Kemwood ACQ 2100,4038
3765,Kemwood KC 73,3609
3766,Kemwood KCP Flytande,4018
3767,Warrant 700 WG,4758
3768,Basagran SG,4115
3769,Eka BIO 4802,3232
3770,Eka BIO 4803,4256
3771,Eka BIO 4805,3961
3772,Mavrik,4491
3773,Mavrik 2F,4491
3774,SpY,4588
3775,Trino BIO Insektsmedel,4454
3776,Weed Killer,4095
3777,Raptol Ros Effekt Spray,4574
3778,Fenix,4123
3779,Centium 36 CS,4778
3780,Maxforce LN Myrdosa,4711
3781,Grön-Fri Industri,4597
3782,Acanto Prima,4785
3783,Cryptolaemus montrouzieri Rovskalbagge,4782
3784,"Guldögonslända, bladluslejon (Chrysoperla carnea)",4783
3785,LN Maxforce,4712
3786,Astrum,4780
3787,Decis,3546
3788,Stratego EC 250,4779
3789,Hussar,4679
3790,Partner,4111
3791,Tramat 50 SC,3846
3792,Stomp,4359
3793,Stomp SC,4359
3794,Trilux  Prop-o-Drev,3914
3795,StoPrim Aqua Protect,4777
3796,StoPrim Protect AF,4776
3797,VECK,4073
3798,Mosquito Magnet Octenol Biting Insect Attractant,4774
3799,Minex,4212
3800,Thripex Plus,4149
3801,Thripor,4270
3802,SeaLife 1000 Antifoul Marine Paint,4755
3803,Autan Protection Plus Myggservetter,4762
3804,Autan Protection Plus Stift,4313
3805,Nemalogic,4386
3806,Birlane Granulat,4612
3807,Bladex 500 SC,3475
3808,Fabi,3959
3809,Gräsgödsel TRIO Komplet,4681
3810,Sigmarine S,3948
3811,Binab Bär,4420
3812,Binab Golf,4420
3813,Binab Potatis,4420
3814,Binab Vector,4420
3815,Hempel´s Antifouling Globic NCT 8190M,4769
3816,Hempel´s Antifouling Globic NCT 8195M,4768
3817,Ecoplug Max,4569
3818,Weibulls Stoppar Myror,4294
3819,Formica Myrdosa,4294
3820,Formica Myrdosa,4294
3821,Euparen M 50 WG,2978
3822,Formica Myrdosa,4294
3823,Keeper Skum,4754
3824,Topsin WG,4302
3825,ACO Mygg Roller,4765
3826,ACO Mygg Spray,4764
3827,Cyper Plus,4580
3828,Cyper Plus M,4729
3829,Autan Active Mygg & Fästingservett,4762
3830,Autan Family Spray,4763
3831,Autan Family stift,4761
3832,Effekt Råttgift,4060
3833,Weibulls Stoppar ogräs,4070
3834,Anti-Sekt,3874
3835,Celcure ACB,4006
3836,Debresol insektsspray,3137
3837,Debresol lösning,3124
3838,DeLaval fly spray FS3,3942
3839,Ecomist Natural Insect Killer Aerosol Refills,4561
3840,Flymaster 20000,3144
3841,Flymaster 40000,2484
3842,Flystar Flugspray,4275
3843,Insekts Rent,4039
3844,Myr-Rent,4002
3845,Nippon insektsmedel,3664
3846,Nobb Myggspiraler,3356
3847,Praestacide KT,4418
3848,Preventol P-109 N,3610
3849,Pyremex konc,3068
3850,Radar by Raid Insektsspray,4375
3851,Radar Dos N,2344
3852,Weibulls Stoppar flugor,4276
3853,Celkil 90 konc,3711
3854,Kemtox IT,3683
3855,Tanamix,4012
3856,Wolmanit Ergänzungmischung 134,4716
3857,Raptol,4759
3858,Gratil 75 WG,4232
3859,Titus,4124
3860,Titus 25 DF,4124
3861,Titus WSB,4124
3862,Laqvin Seal AA 1939,4745
3863,Weibulls Stop Råttgift,3832
3864,Bayer Garden Ogrässkum,4754
3865,Celcure CCB 90,3843
3866,Celcure DB,4193
3867,Celcure P 50,3210
3868,Butisan S,3595
3869,Celcure CCA Type C 50%,4298
3870,Celcure CCA type C 60 %,4020
3871,Fenix,4123
3872,Kemwood K33 C conc.,3953
3873,Lincoln Naturligt Flugmedel,4560
3874,Muritan,3771
3875,Mygg Fri-da,4224
3876,No Mygg Roll-on,4319
3877,No Mygg Spray,4320
3878,PW Rotenon,4326
3879,RENONS flug- och insektsavvisande medel,4517
3880,Stop-it Flugspray,4282
3881,Tanalith COL,4024
3882,Dentar Combiclean,4742
3883,Elit Träskydd,4525
3884,Radar by Raid Getingspray,4743
3885,Skydda Träskydd,4526
3886,Mavrik,4491
3887,Mavrik 2F,4491
3888,Mospilan,4739
3889,Grön-Fri,4718
3890,Mögel-fri,4720
3891,Prick-Fri,4721
3892,Diabolo,4699
3893,Fungazil 100,4699
3894,Ocean Bio-Saner,4388
3895,Amistar,4219
3896,Biltema Saneringsvätska,4388
3897,Sportak EW,4188
3898,Baycor 25 WP,3605
3899,Ortiva,4219
3900,Nippon myrmedel,3464
3901,Canitex 1,4536
3902,Benders Takrent,4718
3903,Showmaster FlyFree Field,4735
3904,Showmaster FlyFree Ride,4736
3905,Mygg & Sånt,4465
3906,Eagle WG,4232
3907,Heterorhabditis-System,4381
3908,Orius-System,4271
3909,Rodentin,2536
3910,Rodentin Pellets Råttgiftsstation,4709
3911,Rodentin Waxblock,4538
3912,Saneringsvätska,4470
3913,Steinernema-System,4380
3914,Nya Nobb Mygg Roll-on,3862
3915,Nya Nobb Myggolja,3863
3916,Nya Nobb Myggspray med pump,3928
3917,Nya Nobb Myggstift,3861
3918,Tanaco Myrdosa,4731
3919,Betanal SC,4112
3920,Duplosan Meko,3733
3921,Fungazil A25,4057
3922,Goltix Trippel WG,4174
3923,OPTICA Mekoprop,3757
3924,Sumithion NA 50 E,4565
3925,Radar by Raid Pälsängerspray,4543
3926,Fungazil A 50,4728
3927,Autan Family Mygg- och Fästingspray,4653
3928,Rosol,3800
3929,Wolmanit CX 070,4528
3930,Wolmanit CX-E,4503
3931,Wolmanit CX-E 87%,4502
3932,Wolmanit CX-S,4088
3933,Wolmanit CX-SC,4461
3934,Wolmanit CX-SD,4089
3935,Pokon Växtspray,4175
3936,Switch pour-on,4068
3937,Grön-Fri Proffs,4719
3938,Scala,4265
3939,HBB Antimyggplåster,4656
3940,MOSSA GTI,4714
3941,Empire 20,3849
3942,Flystar Flugbete Grön,4581
3943,FlyStar Larvstopp,4432
3944,Attribut WG 70,4710
3945,Baythion I Myredosa,4711
3946,Baythion I Myregranulat,4712
3947,Tanalith EK,4708
3948,Finalsan Ogräs Effekt koncentrat Proffs,4659
3949,Gripen Bio-Sanér,4389
3950,Gripen Bio-Sanér Proffs,4390
3951,Jobber Bio,4388
3952,STROLLER TRIPPEL  3-i-1,4681
3953,Anticimex Insektsbete,4702
3954,Scudo Repellent,4703
3955,Dermosil Anti-Mygg tejp,4656
3956,Boracol 20-2 Bd,4701
3957,Flygard,4700
3958,BIM MC 4930,3999
3959,BIM MC 4935,4195
3960,BIM MC 4940,3998
3961,Lotus,4608
3962,Antifouling Seaquantum Classic,4697
3963,Antifouling Seaquantum Classic Blue,4698
3964,Antifouling Seaquantum Plus,4696
3965,Antifouling Seaqueen,4695
3966,Amistar,4219
3967,Apiguard,4694
3968,Express 50 T,3845
3969,MD Myggdeo,4692
3970,Focus Ultra,3987
3971,Rovral 75 WG,4433
3972,Reglone,3367
3973,Sumithion NA 50 E,4565
3974,Tomahawk 180 EC,4460
3975,Renons Flug & Insektsavvisande kräm för häst,4690
3976,Hussar,4679
3977,Boxer,3887
3978,Roxion 40 EC,3966
3979,Lexus Class 50 WG,4425
3980,ÄTTIX Double Action,4689
3981,Betanal Classic SC,4112
3982,Betanal SC,4112
